# Source: https://carmenes.caha.es/ext/instrument/DeltaLambdaNIR.txt
# wgap_A: Inter-order gap, from the N-1 to the N order
# wgapord_A: Intra-order gap, space between two H2RG units in NIR mosaic
ord,ordcut1,ordcut2,ord_real,wmin_A,wmax_A,wdelta_A,wgap_A,wgapord_A,tellurics
0, 0, 1,    63,  9618.7,  9782.1, 163.4,      , 6.0, Strong
1, 2, 3,    62,  9758.4,  9939.9, 181.5,      , 6.1, Mild
2, 4, 5,    61,  9918.3, 10102.9, 184.6,      , 6.2, Weak
3, 6, 7,    60, 10083.6, 10271.2, 187.6,      , 6.3, Weak
4, 8, 9,    59, 10254.5, 10445.3, 190.8,      , 6.4, Weak
5, 10, 11,  58, 10431.3, 10625.4, 194.1,      , 6.5, Weak
6, 12, 13,  57, 10614.3, 10811.8, 197.5,      , 6.7, Weak
7, 14, 15,  56, 10803.9, 11004.9, 201.0,      , 6.8, Weak
8, 16, 17,  55, 11000.3, 11205.0, 204.7,      , 6.9, Weak
9, 18, 19,  54, 11204.0, 11412.5, 208.5,      , 7.0, Strong
10, 20, 21, 53, 11415.4, 11627.8, 212.4,   3.0, 7.1, Strong
11, 22, 23, 52, 11634.9, 11851.4, 216.5,   7.2, 7.3, Mild
12, 24, 25, 51, 11863.1, 12083.7, 220.6,  11.7, 7.4, Mild
13, 26, 27, 50, 12100.4, 12325.4, 225.0,  16.6, 7.6, Weak
14, 28, 29, 49, 12347.3, 12576.9, 229.6,  21.9, 7.7, Weak
15, 30, 31, 48, 12604.5, 12839.0, 234.5,  27.6, 7.9, Mild/weak
16, 32, 33, 47, 12872.7, 13112.1, 239.4,  33.8, 8.0, Weak
17, 34, 35, 46, 13152.6, 13397.1, 244.5,  40.5, 8.2, Weak
18, 36, 37, 45, 13444.9, 13694.8, 249.9,  47.7, 8.4, Strong
19, 38, 39, 44, 13750.5, 14006.1, 255.6,  55.6, 8.6, Strong
20, 40, 41, 43, 14070.3, 14331.8, 261.5,  64.2, 8.8, Strong
21, 42, 43, 42, 14405.3, 14673.0, 267.7,  73.5, 9.0, Mild
22, 44, 45, 41, 14756.6, 15030.8, 274.2,  83.7, 9.2, Mild
23, 46, 47, 40, 15125.6, 15406.6, 281.0,  94.7, 9.4, Weak
24, 48, 49, 39, 15513.4, 15801.6, 288.2, 106.9, 9.6, Weak
25, 50, 51, 38, 15921.7, 16217.4, 295.7, 120.2, 9.9, Weak
26, 52, 53, 37, 16352.1, 16655.6, 303.5, 134.7,10.1, Weak
27, 54, 55, 36, 16806.3, 17118.2, 311.9, 150.7,10.4, Weak
