# Source: https://carmenes.caha.es/ext/instrument/DeltaLambdaVIS.txt
# wgap_A: Inter-order gap, from the N to the N-1 order
ord,ord_real,wmin_A,wmax_A,wdelta_A,wgap_A
0,  118,  5171.4,  5206.7,  35.3, 8.7
1,  117,  5215.4,  5254.8,  39.4, 0.5
2,  116,  5255.3,  5306.6,  51.3,
3,  115,  5297.6,  5355.6,  58.0,
4,  114,  5339.0,  5404.7,  65.7,
5,  113,  5383.6,  5455.3,  71.7,
6,  112,  5429.7,  5504.9,  75.2,
7,  111,  5477.0,  5555.8,  78.8,
8,  110,  5524.5,  5606.3,  81.8,
9,  109,  5573.3,  5657.8,  84.5,
10, 108,  5622.9,  5710.1,  87.2,
11, 107,  5673.5,  5763.5,  90.0,
12, 106,  5725.7,  5817.9,  92.2,
13, 105,  5778.6,  5873.2,  94.6,
14, 104,  5832.8,  5929.7,  96.9,
15, 103,  5887.8,  5987.3,  99.5,
16, 102,  5943.6,  6046.0, 102.4,
17, 101,  6001.2,  6105.8, 104.6,
18, 100,  6061.3,  6166.8, 105.5,
19,  99,  6122.5,  6229.1, 106.6,
20,  98,  6185.0,  6292.7, 107.7,
21,  97,  6248.7,  6357.5, 108.8,
22,  96,  6313.8,  6423.7, 109.9,
23,  95,  6380.3,  6491.3, 111.0,
24,  94,  6448.2,  6560.4, 112.2,
25,  93,  6517.5,  6630.9, 113.4,
26,  92,  6588.4,  6703.0, 114.6,
27,  91,  6660.8,  6776.6, 115.8,
28,  90,  6734.8,  6851.9, 117.1,
29,  89,  6810.5,  6928.9, 118.4,
30,  88,  6887.9,  7007.6, 119.7,
31,  87,  6967.0,  7088.1, 121.1,
32,  86,  7048.1,  7170.5, 122.4,
33,  85,  7131.0,  7254.9, 123.9,
34,  84,  7215.9,  7341.2, 125.3,
35,  83,  7302.8,  7429.7, 126.9,
36,  82,  7391.9,  7520.3, 128.4,
37,  81,  7483.1,  7613.1, 130.0,
38,  80,  7576.7,  7708.2, 131.5,
39,  79,  7672.6,  7805.8, 133.2,
40,  78,  7771.0,  7905.8, 134.8,
41,  77,  7871.9,  8008.5, 136.6,
42,  76,  7975.5,  8113.8, 138.3,
43,  75,  8081.8,  8222.0, 140.2,
44,  74,  8191.0,  8333.1, 142.1,
45,  73,  8303.2,  8447.2, 144.0,
46,  72,  8418.6,  8564.5, 145.9,
47,  71,  8537.2,  8685.1, 147.9,
48,  70,  8659.1,  8809.2, 150.1,
49,  69,  8784.6,  8936.8, 152.2,
50,  68,  8913.8,  9068.2, 154.4,
51,  67,  9046.9,  9203.5, 156.6,
52,  66,  9183.9,  9342.9, 159.0,
53,  65,  9325.2,  9486.6, 161.4,
54,  64,  9471.0,  9634.8, 163.8,
55,  63,  9621.3,  9787.7, 166.4,
56,  62,  9776.5,  9945.5, 169.0,
57,  61,  9936.8, 10108.5, 171.7,
58,  60, 10102.4, 10277.0, 174.6,
59,  59, 10273.6, 10451.1, 177.5,
60,  58, 10450.8, 10631.2, 180.4,
