# Source https://www.eso.org/sci/facilities/paranal/instruments/crires/doc/CRIRES_User_Manual_P114.1.pdf
# Wavelength unit: nm
setting,wmin_nm,wmax_nm
Y1029,955.51,956.59
Y1029,972.36,973.46
Y1029,990.18,990.81
Y1029,1008.18,1008.82
Y1029,1026.81,1027.47
Y1029,1046.15,1046.90
Y1029,1066.29,1067.05
Y1029,1087.15,1087.93
Y1029,1108.83,1109.63
Y1028,954.15,955.20
Y1028,971.25,971.87
Y1028,988.65,989.23
Y1028,1006.61,1007.24
Y1028,1025.23,1025.90
Y1028,1044.60,1045.25
Y1028,1064.67,1065.33
Y1028,1085.46,1086.18
Y1028,1107.18,1107.91
J1226,1119.44,1120.33
J1226,1142.78,1143.76
J1226,1167.12,1168.08
J1226,1192.52,1193.49
J1226,1219.01,1220.04
J1226,1246.71,1247.76
J1226,1275.70,1276.80
J1226,1306.05,1307.15
J1226,1337.98,1338.94
J1228,1121.21,1122.12
J1228,1144.57,1145.53
J1228,1168.98,1169.91
J1228,1194.37,1195.38
J1228,1220.92,1221.95
J1228,1248.68,1249.72
J1228,1277.71,1278.83
J1228,1308.12,1309.17
J1228,1339.95,1341.03
J1232,1124.71,1125.60
J1232,1148.15,1149.46
J1232,1172.62,1173.55
J1232,1198.13,1199.08
J1232,1224.77,1225.74
J1232,1252.56,1253.59
J1232,1281.74,1282.74
J1232,1312.19,1313.26
J1232,1344.15,1345.23
H1559,1682.63,1682.97
H1559,1735.50,1737.42
H1567,1744.20,1745.84
H1575,1753.20,1754.28
