# Source: Figueira et al., 2021, ESPRESSO User Manual
# Source columns: ETC/Int. HR/UHR MR Central FSR FSR FSR start end TS 
# Source columns: Order Orders Order wav[nm] range[nm] min[nm] max[nm] wav[nm] wav[nm] range[nm]
ord_real,ord_hr1,ord_hr2,ord_mr,w_central_nm,FSR_nm,FSR_min_nm,FSR_max_nm,wmin_nm,wmax_nm,TS_range_nm,CCD
# red CCD
 78, 169, 170, 85, 784.45, 10.06, 779.45, 789.51, 778.98, 790.64, 11.66, red
 79, 167, 168, 84, 774.52,  9.80, 769.65, 779.45, 769.11, 780.65, 11.54, red
 80, 165, 166, 83, 764.84,  9.56, 760.09, 769.65, 759.48, 770.89, 11.41, red
 81, 163, 164, 82, 755.40,  9.33, 750.76, 760.09, 750.10, 761.38, 11.28, red
 82, 161, 162, 81, 746.19,  9.10, 741.66, 750.76, 740.95, 752.10, 11.16, red
 83, 159, 160, 80, 737.19,  8.88, 732.78, 741.66, 732.01, 743.04, 11.03, red
 84, 157, 158, 79, 728.42,  8.67, 724.11, 732.78, 723.29, 734.20, 10.91, red
 85, 155, 156, 78, 719.85,  8.47, 715.64, 724.11, 714.78, 725.57, 10.79, red
 86, 153, 154, 77, 711.48,  8.27, 707.37, 715.64, 706.46, 717.13, 10.67, red
 87, 151, 152, 76, 703.30,  8.08, 699.28, 707.37, 698.34, 708.89, 10.56, red
 88, 149, 150, 75, 695.31,  7.90, 691.38, 699.28, 690.40, 700.84, 10.45, red
 89, 147, 148, 74, 687.50,  7.72, 683.66, 691.38, 682.63, 692.97, 10.34, red
 90, 145, 146, 73, 679.86,  7.55, 676.10, 683.66, 675.04, 685.27, 10.23, red
 91, 143, 144, 72, 672.39,  7.39, 668.71, 676.10, 667.62, 677.74, 10.12, red
 92, 141, 142, 71, 665.08,  7.23, 661.48, 668.71, 660.36, 670.38, 10.02, red
 93, 139, 140, 70, 657.93,  7.07, 654.41, 661.48, 653.26, 663.18,  9.92, red
 94, 137, 138, 69, 650.93,  6.92, 647.48, 654.41, 646.31, 656.12,  9.82, red
 95, 135, 136, 68, 644.08,  6.78, 640.70, 647.48, 639.50, 649.22,  9.71, red
 96, 133, 134, 67, 637.37,  6.64, 634.06, 640.70, 632.84, 642.46,  9.62, red
 97, 131, 132, 66, 630.80,  6.50, 627.56, 634.06, 626.31, 635.83,  9.52, red
 98, 129, 130, 65, 624.36,  6.37, 621.19, 627.56, 619.92, 629.35,  9.43, red
 99, 127, 128, 64, 618.05,  6.24, 614.95, 621.19, 613.65, 622.99,  9.34, red
100, 125, 126, 63, 611.87,  6.12, 608.83, 614.95, 607.52, 616.76,  9.25, red
101, 123, 124, 62, 605.81,  6.00, 602.83, 608.83, 601.50, 610.66,  9.16, red
102, 121, 122, 61, 599.87,  5.88, 596.95, 602.83, 595.60, 604.67,  9.07, red
103, 119, 120, 60, 594.05,  5.77, 591.18, 596.95, 589.82, 598.80,  8.99, red
104, 117, 118, 59, 588.34,  5.66, 585.52, 591.18, 584.14, 593.05,  8.90, red
105, 115, 116, 58, 582.74,  5.55, 579.97, 585.52, 578.58, 587.40,  8.82, red
106, 113, 114, 57, 577.24,  5.45, 574.53, 579.97, 573.12, 581.86,  8.74, red
107, 111, 112, 56, 571.84,  5.34, 569.18, 574.53, 567.76, 576.42,  8.66, red
108, 109, 110, 55, 566.55,  5.25, 563.94, 569.18, 562.50, 571.08,  8.58, red
109, 107, 108, 54, 561.35,  5.15, 558.79, 563.94, 557.34, 565.85,  8.51, red
