# If not specified, values are at middle of observation (time) or mean
# RA, DEC in J2000
param,carmvis,carmnir,crires,criresplus,espresso,espresso_uhr11,espresso_hr11,espresso_hr21,espresso_hr42,espresso_mr42,espresso_hr84,expres,harps,harpsn,igrins,maroonx,neid,nirps,spirou
airhum,,,,,,,,,,,,,,,,,,,
airmass,AIRMASS,AIRMASS,,,,,,,,,,,AIRMASS,,,,,,
airmass_end,,,,,,,,,,,,,,,,,,,
airmass_start,,,,,,,,,,,,,,,,,,,
berv,HIERARCH CARACAL BERV,HIERARCH CARACAL BERV,,,,,,,,,,,HIERARCH ESO DRS BERV,,,,,,
berv_max,,,,,,,,,,,,,,,,,,,
bjd,HIERARCH CARACAL BJD,HIERARCH CARACAL BJD,,,,,,,,,,,HIERARCH ESO DRS BJD,,,,,,
date_start,HIERARCH CARACAL DATE-OBS,HIERARCH CARACAL DATE-OBS,,,,,,,,,,,,,,,,,
dec_deg,DEC,DEC,,,,,,,,,,,,,,,,,
drift,HIERARCH CARACAL DRIFT FP RV,HIERARCH CARACAL DRIFT FP RV,,,,,,,,,,,,,,,,,
drift_err,HIERARCH CARACAL DRIFT FP E_RV,HIERARCH CARACAL DRIFT FP E_RV,,,,,,,,,,,,,,,,,
exptime,EXPTIME,EXPTIME,,,,,,,,,,,EXPTIME,EXPTIME,,,,,
fibers,HIERARCH CARACAL FIB,HIERARCH CARACAL FIB,,,,,,,,,,,,,,,,,
gain,E_GAIN1,E_GAIN,,,,,,,,,,,,,,,,,
hjd,HIERARCH CARACAL HJD,HIERARCH CARACAL HJD,,,,,,,,,,,,,,,,,
iwp,,,,,,,,,,,,,,,,,,,
iwp_end,,,,,,,,,,,,,,,,,,,
iwv_start,,,,,,,,,,,,,,,,,,,
jd,HIERARCH CARACAL JD,HIERARCH CARACAL JD,,,,,,,,,,,,,,,,,
mjd,MJD-OBS,MJD-OBS,,,,,,,,,,,,,,,,,
mjd_start,HIERARCH CARACAL MJD-OBS,HIERARCH CARACAL MJD-OBS,,,,,,,,,,,,,,,,,
moondist,,,,,,,,,,,,,,,,,,,
obj,OBJECT,OBJECT,,,,,,,,,,,,,,,,,
pi,PROG-PI,PROG-PI,,,,,,,,,,,,,,,,,
program,PROG-NUM,PROG-NUM,,,,,,,,,,,,,,,,,
ra_deg,RA,RA,,,,,,,,,,,,,,,,,
ra_h,HIERARCH CARACAL RA2000,,,,,,,,,,,,,,,,,,
radecsys,RADESYS,RADESYS,,,,,,,,,,,,,,,,,
red_pipeline_version,HIERARCH CARACAL VERSION,HIERARCH CARACAL VERSION,,,,,,,,,,,,,,,,,
ron,E_READN1,E_READN,,,,,,,,,,,,,,,,,
seeing,,,,,,,,,,,,,,,,,,,
seeing_end,,,,,,,,,,,,,,,,,,,
seeing_start,,,,,,,,,,,,,,,,,,,
snr_oref,HIERARCH CARACAL FOX SNR 36,HIERARCH CARACAL FOX SNR 10,,,,,,,,,,,,,,,,,
telescope,TELESCOP,TELESCOP,,,,,,,,,,,,,,,,,
